Code	Classification
77700001	CLOSED
77700002	INTERNAL
77700003	CUSTOMER
77700004	CUSTOMER
77700005	INTERNAL
77700006	POTENTIAL
77700007	FROZEN
77700008	CLOSED
77700009	FROZEN
77700010	FROZEN
77700011	CLOSED
77700012	CUSTOMER
77700013	CLOSED
77700014	POTENTIAL
77700015	CUSTOMER
77700016	CLOSED
77700017	CLOSED
77700018	CUSTOMER
77700019	CLOSED
77700020	CLOSED
77700021	CUSTOMER
77700022	CLOSED
77700023	CUSTOMER
77700024	CUSTOMER
77700025	CUSTOMER
77700026	FROZEN
77700027	CLOSED
77700028	FROZEN
77700029	POTENTIAL
77700030	CLOSED
77700031	CLOSED
77700032	POTENTIAL
77700033	ENGAGE
77700034	CLOSED
77700035	CLOSED
77700036	CLOSED
77700037	CLOSED
77700038	CUSTOMER
77700039	CUSTOMER
77700040	CLOSED
77700041	CLOSED
77700042	FROZEN
77700043	CUSTOMER
77700044	CLOSED
77700045	FROZEN
77700046	CLOSED
77700047	CLOSED
77700048	CLOSED
77700049	CLOSED
77700050	CLOSED
77700051	CLOSED
77700052	CLOSED
77700053	FROZEN
77700054	CLOSED
77700055	CUSTOMER
77700056	FROZEN
77700057	CUSTOMER
77700058	CUSTOMER
77700059	CLOSED
77700060	CUSTOMER
77700061	CLOSED
77700062	CLOSED
77700063	CUSTOMER
77700064	CUSTOMER
77700065	CUSTOMER
77700066	CLOSED
77700067	CLOSED
77700068	CUSTOMER
77700069	CLOSED
77700070	CLOSED
77700071	CLOSED
77700072	CLOSED
77700073	CLOSED
77700074	POTENTIAL
77700075	CUSTOMER
77700076	CLOSED
77700077	CUSTOMER
77700078	CLOSED
77700079	CLOSED
77700080	POTENTIAL
77700081	FROZEN
77700082	CLOSED
77700083	CLOSED
77700084	POTENTIAL
77700085	CLOSED
77700086	CLOSED
77700087	CLOSED
77700088	CUSTOMER
77700089	CUSTOMER
77700090	CLOSED
77700091	CLOSED
77700092	CLOSED
77700093	CLOSED
77700094	CLOSED
77700095	CLOSED
77700096	ENGAGE
77700097	POTENTIAL
77700098	CLOSED
77700099	FROZEN
77700100	CLOSED
77700101	ENGAGE
77700102	CLOSED
77700103	CLOSED
77700104	FROZEN
77700105	CUSTOMER
77700106	CLOSED
77700107	CLOSED
77700108	CLOSED
77700109	FROZEN
77700110	CUSTOMER
77700111	FROZEN
77700112	INTERNAL
77700113	CLOSED
77700114	FROZEN
77700115	POTENTIAL
77700116	CUSTOMER
77700117	CLOSED
77700118	CLOSED
77700119	FROZEN
77700120	FROZEN
77700121	CUSTOMER
77700122	CUSTOMER
77700123	POTENTIAL
77700124	CLOSED
77700125	CLOSED
77700126	FROZEN
77700127	CLOSED
77700128	CLOSED
77700129	CLOSED
77700130	CUSTOMER
77700131	CLOSED
77700132	CLOSED
77700133	POTENTIAL
77700134	CLOSED
77700135	CUSTOMER
77700136	CLOSED
77700137	CUSTOMER
77700138	CLOSED
77700139	CLOSED
77700140	CLOSED
77700141	FROZEN
77700142	CLOSED
77700143	FROZEN
77700144	CUSTOMER
77700145	CUSTOMER
77700146	POTENTIAL
77700147	CUSTOMER
77700148	FROZEN
77700149	CLOSED
77700150	CLOSED
77700151	FROZEN
77700152	CLOSED
77700153	CUSTOMER
77700154	CLOSED
77700155	CLOSED
77700156	FROZEN
77700157	CUSTOMER
77700158	CLOSED
77700159	FROZEN
77700160	FROZEN
77700161	FROZEN
77700162	CUSTOMER
77700163	FROZEN
77700164	POTENTIAL
77700165	CUSTOMER
77700166	CUSTOMER
77700167	FROZEN
77700168	CUSTOMER
77700169	FROZEN
