store_code_365,item_code_365,item_name,season_code_365,season_name,number_of_pieces,number_field_5_value,stock,stock_reserved,available_stock,stock_ordered,stock_on_transfer
777,ACM-0073,MICRO SDHC 128GB CARD CLASS 10 -  MediaRange,,,1.0,0.0,34.0,3.0,31.0,0.0,0.0
777,ALC-0015,STOLICHNAYA VODKA 700ML,330,ZOOM DRINGS,1.0,6.0,18.0,2.0,16.0,0.0,0.0
777,ALC-0037,JOHNNIE WALKER RED LABEL 1L,,,1.0,0.0,17.0,12.0,5.0,0.0,0.0
777,ALC-0044,CHIVAS REGAL 12YO 70CL,330,ZOOM DRINGS,1.0,0.0,1.0,3.0,-2.0,0.0,0.0
777,BAT-0031,AAA Duracell PLUS POWERBOOST Batteries 4P 1X10,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0
777,BEE-0001,CARLSBERG CAN 500ML 2X12,,,1.0,0.0,15.0,2.0,13.0,0.0,0.0
777,BIS-0011,FROU FROU MORNING COFFEE CHOCO 100GR 6PACK,,,6.0,30.0,18.0,3.0,15.0,0.0,0.0
777,BIS-0012,FROU FROU MORNING COFFEE 80GR 6PACK,,,6.0,60.0,28.0,1.0,27.0,0.0,0.0
777,BIS-0026,LOACKER QUADRATINI NAPOLITANER 125GR,,,1.0,0.0,126.0,9.0,117.0,0.0,0.0
777,BIS-0027,LOACKER QUADRATINI CHOCOLATE 125GR,,,1.0,0.0,81.0,6.0,75.0,0.0,0.0
777,BIS-0028,LOACKER FAMILY NAPOLITANER 90GR,,,1.0,0.0,114.0,7.0,107.0,0.0,0.0
777,BIS-0029,LOACKER FAMILY CREM COCOA 90GR,,,1.0,0.0,103.0,12.0,91.0,0.0,0.0
777,BIS-0038,OREO BISCUIT ROLL ORIGINAL 154GR,,,1.0,0.0,104.0,15.0,89.0,0.0,0.0
777,BIS-0041,OREO ORIGINAL BISCUITS 66GR 1X20,,,1.0,6.0,9.0,1.0,8.0,0.0,0.0
777,BIS-0042,VIOLANTA OAT COOKIES WITH DARK CHOCOLATE 200GR,,,1.0,0.0,27.0,4.0,23.0,0.0,0.0
777,BIS-0043,VIOLANTA OAT COOKIES WITH HONEY 200GR,,,1.0,0.0,50.0,4.0,46.0,0.0,0.0
777,BIS-0044,VIOLANTA OAT COOKIES WITH CRANBERRIES 200GR,,,1.0,0.0,50.0,4.0,46.0,0.0,0.0
777,BIS-0054,LOACKER FAMILY PEANUT BUTTER 90GR,,,1.0,0.0,19.0,5.0,14.0,0.0,0.0
777,BIS-0059,GULLON MINI CRACKER 350GR,,,1.0,0.0,25.0,6.0,19.0,0.0,0.0
777,CHG-0033,ORBIT REFRESHERS STRAWBERRY LEMON BTL 46P 67GR 1X6,,,1.0,0.0,6.0,1.0,5.0,0.0,0.0
777,CHG-0047,TRIDENT LONG LASTING FLAVOUR STRAWBERRY 22GR 1X16,,,1.0,0.0,1.0,1.0,0.0,0.0,0.0
777,CHO-0010,CADBURY DAIRY MILK TAB 110g 1X7,,,1.0,0.0,10.0,1.0,9.0,0.0,0.0
777,CHO-0011,KIT KAT 4F WAFER BAR 41.5g 1X24 CY,,,1.0,0.0,93.0,2.0,91.0,0.0,0.0
777,CHO-0027,SNICKERS MILK BAR 50g 1X24,,,1.0,0.0,52.0,2.0,50.0,0.0,0.0
777,CHO-0028,TWIX TWIN MILK BAR 50g 1X25,,,1.0,0.0,34.0,1.0,33.0,0.0,0.0
777,CHO-0029,BOUNTY MILK BAR 57g 1X24,,,1.0,0.0,49.0,3.0,46.0,0.0,0.0
777,CHO-0040,SNICKERS MILK BAR 2X37.5g 75g 1X24,,,1.0,0.0,27.0,1.0,26.0,0.0,0.0
777,CHO-0041,GALAXY SMOOTH MILK 42GR 1X24,,,1.0,0.0,16.0,1.0,15.0,0.0,0.0
777,CHO-0066,CORNY BIG CHOCOLATE 50GR 1X24,,,1.0,0.0,12.0,1.0,11.0,0.0,0.0
777,CHO-0067,CORNY BIG CHOCOLATE BANANA 50GR 1X24,,,1.0,0.0,17.0,1.0,16.0,0.0,0.0
777,CHO-0080,MALTESERS POUCH 175GR,,,1.0,12.0,187.0,26.0,161.0,0.0,0.0
777,CHO-0085,CADBURY DAIRY MILK TAB 45g 1X12,,,1.0,48.0,31.0,2.0,29.0,0.0,0.0
777,CHO-0086,CADBURY DAIRY MILK TAB WHOLE NUT 45g 1X12,,,1.0,48.0,24.0,1.0,23.0,0.0,0.0
777,CHO-0116,CADBURY DAIRY MILK WHOLE NUT TAB 120GR 1X8,,,1.0,0.0,3.0,1.0,2.0,0.0,0.0
777,CHO-0121,KINDER BUENO 43g 3PACK,,,1.0,0.0,96.0,4.0,92.0,0.0,0.0
777,CHO-0122,FERRERO NUTELLA BISCUIT T22 304GR 1X10,,,1.0,0.0,11.0,1.0,10.0,0.0,0.0
777,CHO-0125,CADBURY TWIRL MILK BAR 43g 1X12,,,1.0,0.0,57.83,2.0,55.83,0.0,0.0
777,CHO-0185,PAVLIDES KISS STRAWBERRY 27.5GR 1X25,,,1.0,0.0,15.0,1.0,14.0,0.0,0.0
777,CHO-0187,NESTLE CRUNCH WHITE 100GR,,,1.0,0.0,47.0,3.0,44.0,0.0,0.0
777,CHO-0195,PAVLIDES CHOCOLATE GEMISTI STRAWBERRY 100GR 1X12,,,1.0,0.0,10.0,1.0,9.0,0.0,0.0
777,CHO-0209,JOKER CHOCOLATE 25GR 1X5,,,1.0,0.0,38.0,5.0,33.0,0.0,0.0
777,CHO-0214,CADBURY FLAKE 32GR 1X12,,,1.0,0.0,8.0,1.0,7.0,0.0,0.0
777,CHO9-0185,PAVLIDES CHOCOLATE GEMISTI CHERRY 100GR 1X12,,,1.0,0.0,6.0,1.0,5.0,0.0,0.0
777,CLE-0004,EUREKA EXTRA WITH VINEGAR 500ml,,,1.0,0.0,199.0,4.0,195.0,0.0,0.0
777,CLE-0005,FAMOZO FRESH TRIGGER 750ml,,,1.0,0.0,201.0,4.0,197.0,0.0,0.0
777,CLE-0011,AROXOL SPRAY  FOR KATSARIDES AND ANTS 300ml,,,1.0,0.0,53.0,5.0,48.0,0.0,0.0
777,CLE-0020,EUREKA LIQUID LEMON 750ML,,,1.0,0.0,225.0,6.0,219.0,0.0,0.0
777,CLE-0032,CIF CREAM WHITE 500ML 4PACK,,,4.0,12.0,7.0,1.0,6.0,0.0,0.0
777,CLE-0033,DOMESTOS ORIGINAL BLEACH BLUE 750ML,,,1.0,20.0,33.0,4.0,29.0,0.0,0.0
777,CLE-0055,COMFORT PURELY SOFT FABRIC SOFTENER 2L,,,1.0,0.0,42.0,2.0,40.0,0.0,0.0
777,CLE-0064,EUREKA MASSALIAS CLASSIC LIQUID 2.592L 57W,,,1.0,0.0,51.0,4.0,47.0,0.0,0.0
777,CLE-0083,FAIRY ULTRA LEMON 900ML,,,1.0,64.0,50.0,4.0,46.0,0.0,0.0
777,CLE-0130,EUREKA MASSALIAS COLORS LIQUID 2.59L 57W,,,1.0,0.0,61.0,2.0,59.0,0.0,0.0
777,CLE-0136,EUREKA ACTIVE CARE 70W  3.5L,,,1.0,0.0,111.0,2.0,109.0,0.0,0.0
777,CLE-0137,EUREKA EXPRESS POWDER 420GR,,,1.0,0.0,106.0,2.0,104.0,0.0,0.0
777,CLE-0163,SEMANA FS. ELIXIR SENSUAL 1.7L,,,1.0,0.0,35.0,3.0,32.0,0.0,0.0
777,CLE-0166,SEMANA FS. PURFUMES OF NIGHT MIDNIGHT BLUE 1.65L,,,1.0,0.0,68.0,3.0,65.0,0.0,0.0
777,CLE-0175,ROKLIN ULTRA MIDNIGHT ROSE 1L,,,1.0,0.0,135.0,2.0,133.0,0.0,0.0
777,CLE-0180,ROKLIN ULTRA OCEAN 1L,,,1.0,0.0,104.0,11.0,93.0,0.0,0.0
777,CLE-0191,EUREKA EXTRA WITH VINEGAR 750ml,,,1.0,0.0,109.0,4.0,105.0,0.0,0.0
777,CLE-0194,FIORO TOILET LIQUID CLEANER BERRY BUBBLEGUM 750ml,,,1.0,18.0,96.0,3.0,93.0,0.0,0.0
777,CLE-0234,COMFORT GOLD BLUEBERRIES AND PURPLE ORCHID FABRIC SOFTENER 2L,,,1.0,0.0,18.0,4.0,14.0,0.0,0.0
777,CLE-0239,FAIRY ULTRA ORIGINAL 350ML,,,1.0,0.0,49.0,10.0,39.0,0.0,0.0
777,CLE-0240,FAIRY ULTRA LEMON 350ML,,,1.0,0.0,50.0,10.0,40.0,0.0,0.0
777,COD-0001,HALLS CHERRY TAB S/F 32GR 1X20,,,1.0,24.0,29.0,3.0,26.0,0.0,0.0
777,COD-0007,HALLS ORIGINAL TAB S/F 32GR 1X20,,,1.0,24.0,50.0,4.0,46.0,0.0,0.0
777,COD-0008,HALLS HONEY  LEMON TAB S/F 32GR 1X20,,,1.0,24.0,15.0,4.0,11.0,0.0,0.0
777,COD-0011,HALLS XSTRONG TAB S/F 32GR 1X20,,,1.0,24.0,9.0,1.0,8.0,0.0,0.0
777,COD-0017,HALLS CINNAMON TAB S/F 32GR 1X20,,,1.0,0.0,6.0,1.0,5.0,0.0,0.0
777,COD-0018,HALLS SPEARMINT TAB S/F 32GR 1X20,,,1.0,0.0,13.0,1.0,12.0,0.0,0.0
777,COF-0004,MEGA ROULETTE 45g 1X24,,,1.0,0.0,9.0,1.0,8.0,0.0,0.0
777,COF-0006,GIANT LOVE HEARTS 39g 1X24,,,1.0,0.0,9.0,3.0,6.0,0.0,0.0
777,COF-0015,HARIBO HAPPY COLA 100g,,,1.0,0.0,63.0,8.0,55.0,0.0,0.0
777,COF-0016,HARIBO GOLDBEAR 100g,,,1.0,0.0,116.0,30.0,86.0,0.0,0.0
777,COF-0017,HARIBO PRIMAVERA-ERDBEEREN 100g,,,1.0,0.0,33.0,30.0,3.0,0.0,0.0
777,COF-0020,HARIBO HAPPY CHERRIES 100g,,,1.0,0.0,113.0,30.0,83.0,0.0,0.0
777,COF-0026,POLO MINT ORIGINAL 34GR 1X32,,,1.0,0.0,16.0,1.0,15.0,0.0,0.0
